target,x,y,z
CYP3A4,58.633,81.856,7.439
CYP2D6,-5.464,-7.289,30.982
CYP2C8,48.254,11.175,-20.580
CYP2C9,-62.461,-44.369,-21.255
5HT1A,101.897,108.541,111.118
5HT7,89.854,102.530,82.123
D2,4.598,9.999,-7.445
