,smiles,ChEMBL_ID,activity_IC50,binding_score
42,Cc1cc(C)cc(O[C@H](C(O)=O)[C@]2(NCC(=O)N(Cc3c(F)cc(F)cc3F)c3ccccc23)c2ccccc2)c1,CHEMBL96347,4.176091259055681,-11.61062
43,Cc1c(cn2ncnc(Nc3cc(NC(=O)c4cc(F)cc(c4)N4CCOCC4)ccc3C)c12)C(=O)c1ccccc1,CHEMBL1807440,2.5440680443502757,-11.74094
44,Cc1nc2c(NCc3c(C)cccc3C)nccc2n1C,CHEMBL1081870,4.832508912706237,-8.04102
46,CN([C@@H]1CCc2c(CC(O)=O)n3ccccc3c2C1)S(=O)(=O)c1ccc(F)cc1,CHEMBL564845,4.0,-10.23731
47,CC(C)Cn1c2sc(Cn3c(C)nc4ccccc34)c(C(=O)N3CC[C@@H](O)C3)c2c(=O)n(C)c1=O,CHEMBL204772,3.3979400086720375,-9.80535
48,Cc1cc(cc2[nH]c(nc12)-c1c(NCC(O)c2cccc(Cl)c2)cc[nH]c1=O)C(=O)NC1CC1,CHEMBL231510,3.9084850188786495,-9.89808
49,Cc1cccc2[nH]c(nc12)-c1c(NCC(O)c2cccc(Cl)c2)cc[nH]c1=O,CHEMBL230309,3.1760912590556813,-9.85055
50,Fc1cc(F)cc(Nc2ncc(C(=O)NCC3CCOCC3)c(n2)C(F)(F)F)c1,CHEMBL390526,5.0,-9.33959
51,COc1cc2ncn(-c3cc(OCc4ccccc4S(C)(=O)=O)c(s3)C#N)c2cc1OC,CHEMBL373751,4.699999970860912,-8.70832
52,Cc1cnc(CNc2cc(nc(n2)-c2cccnc2)-c2ccccc2)nc1,CHEMBL271120,4.3222192947339195,-9.68547
53,COc1ccc(\\C=C\\C(=O)c2ccncc2)cc1OC,CHEMBL4202990,4.301029995663981,-7.17763
54,Cc1cc(Oc2cncc(F)c2)cc(n1)C(=O)Nc1cccc(F)n1,CHEMBL4077672,3.255272505103306,-9.06054
55,Fc1ccc(cn1)-n1ncc(n1)C(=O)N[C@@H](Cc1ccc(OC(F)(F)F)c(Cl)c1)C(=O)NC1(CC1)C#N,CHEMBL4060895,4.041392685158225,-9.77613
56,OC(=O)C[C@H]1COC2(C1)CCN(CC2)c1ccc(cn1)-c1nc2cc(ccc2[nH]1)C(F)(F)F,CHEMBL4079801,4.698970004336019,-9.79178
57,COc1ccc(NC(=O)c2cc(Oc3cncc(F)c3)cn3ccnc23)nc1,CHEMBL4104546,3.7558748556724915,-8.5693
58,Cc1cccc(NC(=O)c2cc(Oc3cncc(F)c3)cn3ccnc23)n1,CHEMBL4088174,3.0,-9.62293
59,C[C@@H]1Cc2c(ccc3[nH]ncc23)[C@H](N1CC(C)(C)F)c1c(F)cc(\\C=C\\C(O)=O)cc1F,CHEMBL4448852,3.3979400086720375,-10.23557
