smiles,ChEMBL_ID,activity_IC50,binding_score
Cc1cc(C)cc(O[C@H](C(O)=O)[C@]2(NCC(=O)N(Cc3c(F)cc(F)cc3F)c3ccccc23)c2ccccc2)c1,CHEMBL96347,15000.0,-11.61062
Cc1c(cn2ncnc(Nc3cc(NC(=O)c4cc(F)cc(c4)N4CCOCC4)ccc3C)c12)C(=O)c1ccccc1,CHEMBL1807440,350.0,-11.74094
Cc1nc2c(NCc3c(C)cccc3C)nccc2n1C,CHEMBL1081870,68000.0,-8.04102
CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)c1c(O)cccc1[C@@]3(C)O,CHEMBL1440,,-9.8238
CN([C@@H]1CCc2c(CC(O)=O)n3ccccc3c2C1)S(=O)(=O)c1ccc(F)cc1,CHEMBL564845,10000.0,-10.23731
CC(C)Cn1c2sc(Cn3c(C)nc4ccccc34)c(C(=O)N3CC[C@@H](O)C3)c2c(=O)n(C)c1=O,CHEMBL204772,2500.0,-9.80535
Cc1cc(cc2[nH]c(nc12)-c1c(NCC(O)c2cccc(Cl)c2)cc[nH]c1=O)C(=O)NC1CC1,CHEMBL231510,8100.0,-9.89808
Cc1cccc2[nH]c(nc12)-c1c(NCC(O)c2cccc(Cl)c2)cc[nH]c1=O,CHEMBL230309,1500.0,-9.85055
Fc1cc(F)cc(Nc2ncc(C(=O)NCC3CCOCC3)c(n2)C(F)(F)F)c1,CHEMBL390526,100000.0,-9.33959
COc1cc2ncn(-c3cc(OCc4ccccc4S(C)(=O)=O)c(s3)C#N)c2cc1OC,CHEMBL373751,50118.72,-8.70832
Cc1cnc(CNc2cc(nc(n2)-c2cccnc2)-c2ccccc2)nc1,CHEMBL271120,21000.0,-9.68547
COc1ccc(\\C=C\\C(=O)c2ccncc2)cc1OC,CHEMBL4202990,20000.0,-7.17763
Cc1cc(Oc2cncc(F)c2)cc(n1)C(=O)Nc1cccc(F)n1,CHEMBL4077672,1800.0,-9.06054
Fc1ccc(cn1)-n1ncc(n1)C(=O)N[C@@H](Cc1ccc(OC(F)(F)F)c(Cl)c1)C(=O)NC1(CC1)C#N,CHEMBL4060895,11000.0,-9.77613
OC(=O)C[C@H]1COC2(C1)CCN(CC2)c1ccc(cn1)-c1nc2cc(ccc2[nH]1)C(F)(F)F,CHEMBL4079801,50000.0,-9.79178
COc1ccc(NC(=O)c2cc(Oc3cncc(F)c3)cn3ccnc23)nc1,CHEMBL4104546,5700.0,-8.5693
Cc1cccc(NC(=O)c2cc(Oc3cncc(F)c3)cn3ccnc23)n1,CHEMBL4088174,1000.0,-9.62293
C[C@@H]1Cc2c(ccc3[nH]ncc23)[C@H](N1CC(C)(C)F)c1c(F)cc(\\C=C\\C(O)=O)cc1F,CHEMBL4448852,2500.0,-10.23557
COc1ncc(cc1NS(=O)(=O)c1ccc(F)cc1F)-c1cc(O[C@@H]2CCOC2)c2nc(N)nc(C)c2c1,CHEMBL4176771,10000.0,-11.18285
